date,sub_category,sales,total_sales,total_volume,tv_spend,digital_spend,print_spend,ooh_spend,radio_spend
2022-01-01,Category_A,115236.10520612772,115236.10520612772,2174.292683242683,5993.434190456619,11673.042233565215,22986.828394260112,14217.172057092785,22533.71042374797
2022-01-08,Category_A,120207.04848264228,120207.04848264228,2314.018261803649,24222.862479706248,24498.457442659517,19518.356486658406,11851.311452545262,9101.751408279535
2022-01-15,Category_A,114029.1690023188,114029.1690023188,1904.920165198586,16139.907339789648,17295.718193321725,20316.136024892417,13655.795008425255,7963.260446767006
2022-01-22,Category_A,108191.11277731879,108191.11277731879,1949.8338815793097,14329.002355618919,16546.921975303863,15606.888182661807,11535.084092879992,9388.718997260794
2022-01-29,Category_A,124238.0284455398,124238.0284455398,3101.646385820632,17951.20612758219,16152.461653725733,22541.301714443707,24564.60727823104,12755.3170701175
2022-02-05,Category_A,123468.47162618792,123468.47162618792,2110.28923009004,23027.539919414365,17782.410768457317,19506.019668337536,13626.135349759428,13613.688988211401
2022-02-12,Category_A,122639.80343431325,122639.80343431325,2591.1154845285737,20615.63801362556,5708.876110195873,23400.343247833316,23196.13666915605,16662.216943897944
2022-02-19,Category_A,119278.5692552914,119278.5692552914,2905.722978778119,14451.337449958126,23801.039728570988,8877.445161794567,24580.266924659623,7821.533336375468
2022-02-26,Category_A,124736.96046966394,124736.96046966394,2718.345175333502,13598.746777924129,11867.522501000203,22147.62751573465,19446.380279562276,21483.902093855122
2022-03-05,Category_A,96856.28859521837,96856.28859521837,2176.777947611632,10601.596642798499,5940.756408032926,16766.076397995355,5253.3472595465455,9192.727926707998
2022-03-12,Category_A,114934.35628427581,114934.35628427581,2164.254642543358,13644.634998716994,14112.995315356964,7739.929779621711,17071.220403076608,17443.29179873214
2022-03-19,Category_A,135257.60905500912,135257.60905500912,2433.5968262981214,22081.71737604512,19528.456363625974,22189.622968910375,17867.77773154349,23602.438464301347
2022-03-26,Category_A,132975.00046259747,132975.00046259747,2771.240805913294,16904.352666093822,18074.16952807802,16574.290910546435,18067.056570467015,22309.30939443216
2022-04-02,Category_A,124283.16386336519,124283.16386336519,2749.52206289288,14044.665874247768,20209.443778201945,15702.948507714209,7708.439512757836,20802.906096175826
2022-04-09,Category_A,128958.3882089341,128958.3882089341,2412.2439183720203,17063.20939612831,14868.248398587624,19695.14056973202,18946.745324524345,23773.671563351065
2022-04-16,Category_A,109122.97737964265,109122.97737964265,2088.1235222320324,8149.424041216755,8709.593359347291,16467.965331568004,15971.171365778175,8676.856844237189
2022-04-23,Category_A,117609.8417800701,117609.8417800701,2311.4170821235753,16104.072919355827,19317.740597074597,17608.73644330752,5619.010314171118,12829.432555826952
2022-04-30,Category_A,121912.00557590165,121912.00557590165,2236.4950571031036,15374.244638364198,24624.93257640516,11740.763494004826,15197.647916683547,11965.145374088384
2022-05-07,Category_A,118601.7103484639,118601.7103484639,2621.403549020027,16075.585367210164,13286.119862122054,21193.39690021296,5594.761262087886,20144.128670837265
2022-05-14,Category_A,106600.12418582018,106600.12418582018,2038.8505238518287,8610.23136183623,9016.134463979315,8073.851055893005,21084.57015968195,9879.242568742726
2022-05-21,Category_A,139037.67692462736,139037.67692462736,2610.224903865691,16440.79548893361,23939.5632000983,19516.353478774145,16545.47287330065,17043.594180429624
2022-05-28,Category_A,106960.69258221267,106960.69258221267,2100.4272505230397,20028.58373736135,9304.608273709126,6246.369285005147,9411.135506364713,19894.244107201914
2022-06-04,Category_A,129265.33394413521,129265.33394413521,2222.8849724876986,24100.039601621862,22318.19449541589,9845.738997925242,16626.579449775647,23610.8693532795
2022-06-11,Category_A,113839.67879022044,113839.67879022044,1903.8279943850982,9983.466186100748,22947.268578976917,17384.87837262405,14420.692206737196,5390.794074197185
2022-06-18,Category_A,114862.29945509226,114862.29945509226,2051.381942592179,12447.773124357558,20465.07619547766,11859.605272361157,19176.545870869413,8539.718598273459
2022-06-25,Category_A,116495.38763573288,116495.38763573288,2691.956515052433,19569.606929696856,20113.654144481166,10883.450119933474,12284.789556170665,15912.82883827014
2022-07-02,Category_A,129926.35633485993,129926.35633485993,3214.4999218125863,16946.46618524006,21789.26943166325,19297.641035751207,10384.821280347678,23464.309866720596
2022-07-09,Category_A,114478.13536772443,114478.13536772443,2713.8974578713096,5758.8256666755315,14856.559748110252,14130.089211089578,20816.501422352947,13437.311443705348
2022-07-16,Category_A,107459.51400934721,107459.51400934721,1797.1245859706264,8099.154323343311,16509.970719333225,13463.15022607207,5237.43541427699,17413.046925944494
2022-07-23,Category_A,106288.7973718063,106288.7973718063,2459.1387791793495,17980.635854834225,15894.074189914347,7536.464405038568,8760.552539323622,15046.121690791275
